	SID5411-1	SID5411-2	SID5411-3	SID5411-4	SID5412-1	SID5412-2	SID5412-3	SID5412-4	SID5413-1	SID5413-2	SID5413-3	SID5413-4	SID5414-1	SID5414-2	SID5414-3	SID5414-4	SID5415-1	SID5415-2	SID5415-3	SID5415-4	SID5416-1	SID5416-2	SID5417-1	SID5417-2	SID5417-3	SID5417-4	SID5418-1	SID5419-1	SID5420-1	SID5420-2	SID5420-3	SID5421-1	SID5421-2	SID5421-3	SID5421-4	SID5423-1	SID5423-2	SID5423-3	SID5423-4	SID5425-1	SID5425-2	SID5425-3	SID5425-4	SID5426-1	SID5427-1	SID5427-2	SID5427-3	SID5427-4	SID5428-1	SID5428-2	SID5428-3	SID5428-4	SID5429-1	SID5429-2	SID5429-3	SID5429-4	SID5433-1	SID5433-2	SID5433-3	SID5433-4	SID5434-1	SID5434-2	SID5434-3	SID5434-4	SID5435-1	SID5435-2	SID5435-3	SID5435-4	SID5438-1	SID5438-2	SID5438-3	SID5438-4	SID5439-1	SID5439-2	SID5439-3	SID5439-4	SID5440-1	SID5440-2	SID5440-3	SID5440-4	SID5441-1	SID5441-2	SID5441-3	SID5441-4	SID5442-1	SID5442-2	SID5442-3	SID5442-4	SID5443-1	SID5443-2	SID5443-3	SID5443-4	SID5444-1	SID5444-2	SID5444-3	SID5444-4	SID5445-1	SID5445-2	SID5445-3	SID5445-4	SID5446-1	SID5446-2	SID5446-3	SID5446-4	SID5448-1	SID5448-2	SID5448-3	SID5448-4	SID5449-1	SID5449-2	SID5449-3	SID5449-4	SID5450-1	SID5450-2	SID5450-3	SID5450-4	SID5451-1	SID5451-2	SID5451-3	SID5451-4	SID5452-1	SID5453-1	SID5453-2	SID5453-3	SID5453-4	SID5454-1	SID5454-2	SID5454-3	SID5454-4	SID5455-1	SID5455-2	SID5455-3	SID5455-4	SID5457-1	SID5457-2	SID5457-3	SID5457-4	SID5458-1	SID5458-2	SID5458-3	SID5458-4	SID5459-1	SID5460-1	SID5460-2	SID5460-3	SID5460-4	SID5461-1	SID5461-2	SID5461-3	SID5461-4	SID5462-1	SID5462-2	SID5462-3	SID5462-4	SID5463-1	SID5463-2	SID5463-3	SID5463-4	SID5465-1	SID5466-1	SID5466-2	SID5466-3	SID5466-4	SID5467-1	SID5467-2	SID5467-3	SID5467-4	SID5468-1	SID5468-2	SID5468-3	SID5468-4	SID5469-1	SID5469-2	SID5469-3	SID5469-4	SID5470-3	SID5470-4	SID5473-1	SID5473-2	SID5473-3	SID5473-4	SID5474-3	SID5474-4	SID5476-1	SID5476-2	SID5476-3	SID5476-4	SID5477-1	SID5477-2	SID5477-3	SID5477-4	SID5478-1	SID5478-2	SID5478-3	SID5478-4	SID5479-1	SID5479-2	SID5479-3	SID5479-4	SID5480-1	SID5480-2	SID5480-3	SID5480-4	SID5481-1	SID5481-2	SID5481-3	SID5481-4
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	0	0	0	0	0	0	0	0.01075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00189	0	0	0	0	0	0	0	0	0	0	0	0.00215	0.013	0.00546	0.03712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00065	0.00226	0	0	0.00423	0.00428	0.00382	0.00346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00493	0.00364	0.00711	0	0	0	0	0	0	0	0	0	0.00133	0.00067	0	0	0	0.00248	0	0.00153
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum	0	0	0	0	0	0	0	6e-04	0	0	0	0	0	0	0	0	0	0	0	0	0.01959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00076	0	0	0.0145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Monoglobus|s__Monoglobus_pectinilyticus	0	0	0	0	0	0	0	0	0.93513	0.29073	0.21194	2.02056	0	0	0	0	0.23744	0.26719	0.56184	0.90423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01498	0.20886	0.10986	0.11665	0	0	0	0	0	0.06911	0.3273	0.09899	0.85888	0	0	0	0.01446	0	0	0	0	0.36583	3.00811	1.27822	0.37354	0	0	0	0	0	0	0	0	0	0	0.00935	0	0	0	0	0	0	0.33256	0.38197	0.04869	0	0	0	0	0.63123	1.02672	0.71174	0.39098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12356	0.23363	0.38792	0.51815	0	0	0	0	0.61753	1.31861	0.57263	0.26591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23002	0	0	0	0	0	0	0	0	0.58774	0.29992	0	0.02818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08786	0.13595	0.46615	0.01654	0	0	0.0962	0.00866	0	0	0	0.01745	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_253	0	0	0	0	0	0	0	0	0.03849	0	0.01035	0	1.92793	0.5638	0.35622	0.01502	0	0	0	0	0.05373	0.03576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00076	0	0.02081	0.10561	0.0124	0	0	0	0	0	0	0.31479	0.00387	0.23906	0.42012	0.04393	0.05589	0.07684	0.13937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26521	0.16668	0.22457	0.20395	0.05256	0.01459	0.18939	0.09494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04772	0	0	0	0	0	0	0	0	0	0.03199	0.00123	0.02302	0	0	0	0	0	0	0.25153	0.13995	0.75469	0.33536	0	0	0	0	0	0	0	0	0	0	0	0	0.00407	0	0	0	0	0	0	0	0	0.20698	0.34779	0.0231	0.03381	0.19853	0.37542	0.35642	1.01421	0	0	0	0	0	0	0.00699	0	0	0.07417	0.03869	0.26223	0.82071	0.05396	0.03118	0.20567	0	0	0	0.20097	0.54618	0.00497	0.00135	0	0	0	0	0	0	0.11176	0	0.03594	0.16445	0	0	0	0	0	0	0	0.18002	0	0	0	0	0.01152	0	0	0.02135
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella|s__Mitsuokella_jalaludinii	0	0	0	0	0	0	0	0	0.02473	0.01132	0.04486	0.02953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67471	0.02794	0.53967	0.00424	0.02091	0.04246	0	0	0	0	0.06946	0.01614	0	0	0	0	0	0	0	0.00728	0	0	0	0	0.11111	0.03077	0.03206	0.00512	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	0	0	0	0	0	0	0	0	0.01061	0.0107	0.00099	0.00082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01497	0.0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01064	0	0	0	0.00151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01106	0	0	0	0	0	0.00227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0	0	0.00063	0.00048	0	0	0	0.01435	0	0.0058
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_sp_CAG_266	0	0	0	0	0	0	0	0	0.00581	0.00864	0.00651	0.05476	0	0	0	0	0	0	0	0	1.03497	1.18574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.69474	1.78659	1.36681	0.81695	0.07729	0.24445	0.07132	0.07217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04183	0.01513	0	0	0	0	0.24585	0.19099	0.33151	0.04716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85763	0	0	0	0	0	0	0	0	1.80504	2.37843	5.29591	2.86447	1.59065	3.1466	0.34808	1.96965	0	0	0	0	0	1.3159	1.38667	2.35998	0.88941	0	0	0	0	0	0	0	0	0.7582	0.27108	0.39614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94221	4.86118	6.20448	7.34991	0.00149	0.1175	0	0	0	0	0	0	0	0.03135	1.4336	2.57134	1.32535	1.43354	0.01153	0.12958	0	0.02968	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0	0	0	0	0	0	0	0	0.0027	0.00761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04255	0	0	0	0.00383	0	0	0	0	0	0	0	0	0	0	0.00024	0	0	0	0	0	0	0	0	0	0	0	0.00782	0.00319	0	0	0	0	0	0	0	0	0	0.00084	0.0107	0	0.00317	0.00211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00288	0.00153	0.00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00808	0	0	0.00145	0	0.00246	0	0.00136	0	0	0	0	0	0	0	0	0	0.00362	0.00139	0	0	0	0.00521	0.00046	0	0	0.0084	0.00051	0	0	0	0	0	0	0	0	0	0	0	0.00418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018	0	0.00093	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus	0	0	0	0	0	0	0	0	0	0.06345	0.02379	0	0.00878	0	0	0.00417	0	0	0.00229	0	0	0	0	0	0	0	0	0.00069	0.00056	0	0	0	0.00399	0.00381	0	0	0.00282	0	0	0	0	0	0	0	0.01653	0.0059	0.0036	0.00304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00134	0	0	0	0	0	0	0.00485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00489	0	0.00189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01979	0.00278	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00583	0.00693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00048	0.00166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides	0	0	0	0	0	0	0	0	0	0.00492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00254	0	0	0	0.16151	0.23922	1.56764	0	0	0	0	0	0	0	0	0.02017	0	0	0	0	0	0.05261	0	0.13377	0	0	0	0	0	0	0	0	0	0.01128	0	0	0.00444	0.0314	0	0	0.05472	0.06221	0	0.0973	0	0	0	0	0.00417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03095	0	0	0.0029	0	0	0	0	0	0	0	0.01883	0	0	0	0	0	0	0.00991	0	0	0	0	0	0.01175	0.02088	0.03148	0.10536	0	0.00323	0	0.01142	0.0122	0	0	0	0	0	0	0.22729	0	0	0	0	0	0	0.00487	0	0	0	0.01382	0.00349	0	0	0	0.01055	0	0	0	0	0	0.00281	0.05823	0	0.03623	0	0.00641	0	0	0	0	0	0.00749	0	0	0	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0	0	0	0	0.03053	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-04	0	0	0	0.00063	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_parabuchneri	0	0	0	0	0	0	0	0	0	0.00361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified|g__Blastocystis|s__Blastocystis_sp_subtype_1	0	0	0	0	0	0	0	0	0	0.00315	0	0.21959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64718	0.246	0.52844	0.45579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66069	0.0152	0.25417	0.98341	0	0	0	0	0.20107	0.6317	0.22613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_sp_An10	0	0	0	0	0	0	0	0	0	0.00204	0	0	0	0	0	0	0	0.00257	0.00717	0.00777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05654	0.04798	0.04264	0.09842	0.01216	0.00516	0.00835	0.00865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01558	0.14977	0.15679	0.07037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00688	0.00538	0.0023	0.00608	0.00196	0.00169	0.00453	0.00424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium	0	0	0	0	0	0	0	0	0	0	0	0	1.53981	0.4779	0.74453	0.28952	0	0	0	0	0.04326	0.02116	2.3928	4.64567	2.31284	0.03957	2.80664	0	5.65883	0.62163	0.34324	0	0	0	0	0	0	0	0	0.00102	0.00738	0.007	0.00956	0	0	0	0	0	0	0	0	0	1.73057	1.0466	1.87059	0.09517	0	0	0	0	0.00094	0.00836	0.0058	0.54855	0	0	0	0	0.212	0.07143	0.02952	0.22941	0	0.00307	0	0.00537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10478	0.05246	0.66926	0.4151	0	0.1668	0.02569	0.03199	1.11051	0.99155	2.30934	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07091	0.02433	0.03696	0.03518	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54491	1.06553	1.30585	0.90283	0	0	0	2.08964	0	0.1777	0.16057	0.10734	0.08206	0	0	0	0	0	0	0	0	0.21119	0	0	0	0.32306	1.47767	0.00586	0	0	1.08145	1.7225	0	0.8707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31523	0.32317	0.42618	1.17281	0.39634	0.26052	0.08125	0.64853	0	0	0	0	0.00382	0.00107	0.00105	0.69184	0.0965	0.26732	0.03541	0.06727	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251	0	0	0	0	0	0	0	0	0	0	0	0	0.63132	0.82329	0.70824	2.00139	0.63033	0.91883	0.15107	1.51107	0.00017	0.00209	0	0	0	0	0	0.73554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68239	0.99805	0.80386	0.53851	3.93149	0.88387	0.0058	0	0.48141	0.86343	1.69531	0.46022	0	0	0	0	13.15418	6.54243	4.95013	6.49473	0.01901	0.03279	0.00522	0	0	0	0	0	0.42253	0.27441	0.6275	0.97009	0	0	0	0	0	0	0	0	0	0	0	0.38932	1.42953	0.2523	0	2.26725	0	1.08189	0	0	0.61545	0.62835	0.22421	0.62503	2.2489	3.38022	0.5894	1.64786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63478	1.73523	1.01184	0	0	0	0	0	0	1.05095	2.47274	0.32907	0.52694	0.02939	0.34433	0.38532	0.00016	0	0.38082	0.82473	1.78322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6585	0.30576	0	0	0	0	0	1.08114	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037	0	0.00023	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	0	0	0	0	0	0	0	0	0	0	0	0.44028	0.29681	0.16911	0.34956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25001	0.35866	0.76346	1.0145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03037	0	0	0	0	0.09793	0.17792	0.01148	0.02902	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified|g__Candidatus_Gastranaerophilales_unclassified|s__Candidatus_Gastranaerophilales_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.09767	0.00886	0.02981	0.01823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Harryflintia|s__Harryflintia_acetispora	0	0	0	0	0	0	0	0	0	0	0	0	0.06987	0.03039	0.03841	0.08756	0	0	0	0	0.00397	0.00709	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00285	0.0384	0	0.02134	0	0	0	0	0	0	0	0	0	0	0	0.01365	0	0.01613	0.00317	0.00821	0	0	0.00599	9e-04	0	0	0	0	0	0.00358	0	0.0132	0.00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00322	0	0	0	0	0	0.01286	0.01011	0.00867	0	0	0	0	0	0	0	0	0.06452	0.03113	0.03558	0.00496	0.00329	0	0	0	0	0	0	0	0.00692	0.00167	0.015	0.00842	0.00609	0	0.003	0.00064	0	0	0.00028	0.0147	0.00124	0.00199	0	0.00117	0	0	0	0.00525	0.00253	0.00644	0	0.0101	0	0	0.00079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00139	0.00888	0.00033	0.00593	0.00033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalitalea|s__Faecalitalea_cylindroides	0	0	0	0	0	0	0	0	0	0	0	0	0.03345	0.0089	0	0.01792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48756	0	0	0	0	0	0	0	0	0.00948	0.11764	0.1559	0.00127	0	0	0	0	0	0.02861	0.00524	0.00606	0.01369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01469	0.03328	0	0	0	0	0	0.01649	0	0	0.0533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00085	0.00343	0.00912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00979	0.03706	0.11049	0.06244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05902	0.01644	0	0	0	0	0.07326	0.0202	0.54536	0.35875	0.30968	1.22145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis|s__Victivallis_vadensis	0	0	0	0	0	0	0	0	0	0	0	0	0.0178	0	0	0.04346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00911	0	0.02178	0	0	0.00214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19298	0	0	0	0	0	0	0	0	0	0.03327	0	0	0.03072	0.03261	0.01567	0.00163	0	0.2666	0	0.00229	0.06851	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified|s__Clostridiales_bacterium_1_7_47FAA	0	0	0	0	0	0	0	0	0	0	0	0	0.0081	0.00456	0	0.00271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04975	0.03438	0.03373	0.03766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00098	0	0	0.00103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00137	0	0	0	0	0	0	0	0.02744	0.01397	0	0	0	0	0	0	0.02215	0	0	0	0	0	0	0
